timestamp,open,high,low,close,volume
1759738500000,123635.78000000,123667.99000000,123581.26000000,123592.17000000,28.49670000
1759738800000,123592.17000000,123702.43000000,123592.16000000,123702.43000000,10.86554000
1759739100000,123702.43000000,123770.00000000,123691.99000000,123760.00000000,33.47987000
1759739400000,123760.00000000,123860.00000000,123759.99000000,123849.97000000,72.94045000
1759739700000,123849.97000000,123849.98000000,123730.24000000,123797.75000000,120.73710000
1759740000000,123797.74000000,123800.00000000,123640.00000000,123675.40000000,52.23485000
1759740300000,123675.40000000,123789.00000000,123655.96000000,123774.51000000,22.12012000
1759740600000,123774.51000000,123831.20000000,123757.15000000,123809.58000000,30.40496000
1759740900000,123809.57000000,123880.00000000,123809.57000000,123846.55000000,31.21928000
1759741200000,123846.56000000,123974.60000000,123830.00000000,123974.60000000,61.93394000
1759741500000,123974.60000000,124032.19000000,123840.00000000,123979.93000000,67.95118000
1759741800000,123979.94000000,124056.73000000,123922.40000000,123941.86000000,64.24067000
1759742100000,123941.86000000,123948.71000000,123896.98000000,123929.10000000,23.85587000
1759742400000,123929.10000000,123949.99000000,123839.07000000,123907.96000000,22.37310000
1759742700000,123907.95000000,123933.34000000,123870.60000000,123907.92000000,53.55671000
1759743000000,123907.93000000,123925.98000000,123876.91000000,123876.91000000,82.90590000
1759743300000,123876.91000000,123908.17000000,123806.69000000,123857.26000000,200.65363000
1759743600000,123857.26000000,123882.96000000,123806.00000000,123806.01000000,97.91224000
1759743900000,123806.00000000,123869.03000000,123779.31000000,123816.99000000,36.01895000
1759744200000,123816.99000000,123916.66000000,123808.52000000,123916.65000000,28.10722000
1759744500000,123916.66000000,124017.41000000,123904.35000000,123955.30000000,51.88786000
1759744800000,123955.29000000,124100.00000000,123955.29000000,124002.23000000,40.34815000
1759745100000,124002.22000000,124040.00000000,123915.92000000,123947.89000000,59.66984000
1759745400000,123947.90000000,124002.43000000,123899.42000000,123955.86000000,29.82986000
1759745700000,123955.87000000,123957.71000000,123926.45000000,123951.31000000,32.98049000
1759746000000,123951.31000000,124082.09000000,123951.30000000,124082.08000000,52.67272000
1759746300000,124082.09000000,124106.95000000,124056.73000000,124096.50000000,28.81874000
1759746600000,124096.50000000,124107.19000000,124026.64000000,124080.00000000,36.06052000
1759746900000,124079.99000000,124090.00000000,124051.38000000,124056.73000000,18.26371000
1759747200000,124056.73000000,124090.00000000,124051.38000000,124077.57000000,21.68680000
1759747500000,124077.58000000,124089.98000000,124070.53000000,124072.37000000,24.05953000
1759747800000,124072.37000000,124142.85000000,124072.36000000,124084.28000000,69.89856000
1759748100000,124084.29000000,124084.29000000,123978.00000000,123978.00000000,45.68986000
1759748400000,123978.00000000,123978.00000000,123813.17000000,123927.08000000,73.79871000
1759748700000,123927.07000000,123999.67000000,123844.20000000,123844.20000000,38.04040000
1759749000000,123844.21000000,123868.91000000,123742.80000000,123742.80000000,28.57902000
1759749300000,123742.80000000,123915.56000000,123735.73000000,123907.28000000,38.97374000
1759749600000,123907.27000000,123955.09000000,123865.90000000,123942.38000000,50.45570000
1759749900000,123942.37000000,124400.00000000,123928.56000000,124365.91000000,172.55501000
1759750200000,124365.91000000,124531.66000000,124100.00000000,124158.43000000,139.48733000
1759750500000,124158.43000000,124268.62000000,124083.83000000,124254.33000000,67.51339000
1759750800000,124254.33000000,124346.82000000,124221.02000000,124299.96000000,140.76764000
1759751100000,124299.97000000,124422.93000000,124209.98000000,124233.81000000,150.10385000
