time,close
2025-09-12 05:00:00,4558.41
2025-09-12 06:00:00,4538.99
2025-09-12 07:00:00,4525.81
2025-09-12 08:00:00,4517.9
2025-09-12 09:00:00,4515.12
2025-09-12 10:00:00,4516.69
2025-09-12 11:00:00,4520.76
2025-09-12 12:00:00,4526.63
2025-09-12 13:00:00,4539.64
2025-09-12 14:00:00,4547.02
2025-09-12 15:00:00,4541.98
2025-09-12 16:00:00,4575.8
2025-09-12 17:00:00,4613.05
2025-09-12 18:00:00,4624.61
2025-09-12 19:00:00,4657.18
2025-09-12 20:00:00,4670.48
2025-09-12 21:00:00,4649.8
2025-09-12 22:00:00,4695.16
2025-09-12 23:00:00,4712.16
2025-09-13 00:00:00,4704.71
2025-09-13 01:00:00,4700.49
2025-09-13 02:00:00,4702.71
2025-09-13 03:00:00,4756.81
2025-09-13 04:00:00,4743.1
2025-09-13 05:00:00,4723.43
2025-09-13 06:00:00,4711.09
2025-09-13 07:00:00,4711.7
2025-09-13 08:00:00,4730.25
2025-09-13 09:00:00,4732.52
2025-09-13 10:00:00,4718.05
2025-09-13 11:00:00,4719.53
2025-09-13 12:00:00,4720.45
2025-09-13 13:00:00,4685.79
2025-09-13 14:00:00,4689.12
2025-09-13 15:00:00,4653.92
2025-09-13 16:00:00,4623.65
2025-09-13 17:00:00,4634.09
2025-09-13 18:00:00,4643.08
2025-09-13 19:00:00,4638.21
2025-09-13 20:00:00,4657.58
2025-09-13 21:00:00,4663.5
2025-09-13 22:00:00,4658.53
2025-09-13 23:00:00,4666.53
2025-09-14 00:00:00,4670.27
2025-09-14 01:00:00,4673.13
2025-09-14 02:00:00,4683.16
2025-09-14 03:00:00,4663.22
2025-09-14 04:00:00,4658.97
2025-09-14 05:00:00,4676.08
2025-09-14 06:00:00,4666.4
2025-09-14 07:00:00,4650.58
2025-09-14 08:00:00,4656.01
2025-09-14 09:00:00,4665.29
2025-09-14 10:00:00,4659.83
2025-09-14 11:00:00,4635.0
2025-09-14 12:00:00,4632.34
2025-09-14 13:00:00,4612.8
2025-09-14 14:00:00,4601.89
2025-09-14 15:00:00,4582.22
2025-09-14 16:00:00,4596.83
2025-09-14 17:00:00,4619.9
2025-09-14 18:00:00,4603.5
2025-09-14 19:00:00,4615.47
2025-09-14 20:00:00,4616.78
2025-09-14 21:00:00,4629.83
2025-09-14 22:00:00,4629.15
2025-09-14 23:00:00,4604.49
2025-09-15 00:00:00,4601.68
2025-09-15 01:00:00,4618.15
2025-09-15 02:00:00,4620.19
2025-09-15 03:00:00,4636.2
2025-09-15 04:00:00,4642.71
2025-09-15 05:00:00,4662.84
2025-09-15 06:00:00,4630.49
2025-09-15 07:00:00,4597.37
2025-09-15 08:00:00,4510.62
2025-09-15 09:00:00,4526.22
2025-09-15 10:00:00,4529.79
2025-09-15 11:00:00,4530.65
2025-09-15 12:00:00,4514.38
2025-09-15 13:00:00,4515.42
2025-09-15 14:00:00,4511.24
2025-09-15 15:00:00,4500.01
2025-09-15 16:00:00,4494.82
2025-09-15 17:00:00,4509.9
2025-09-15 18:00:00,4501.5
2025-09-15 19:00:00,4493.41
2025-09-15 20:00:00,4510.71
2025-09-15 21:00:00,4524.26
2025-09-15 22:00:00,4513.52
2025-09-15 23:00:00,4523.74
2025-09-16 00:00:00,4513.45
2025-09-16 01:00:00,4517.63
2025-09-16 02:00:00,4514.02
2025-09-16 03:00:00,4520.78
2025-09-16 04:00:00,4518.93
2025-09-16 05:00:00,4529.32
2025-09-16 06:00:00,4508.81
2025-09-16 07:00:00,4512.86
2025-09-16 08:00:00,4511.6
2025-09-16 09:00:00,4511.29
2025-09-16 10:00:00,4498.75
2025-09-16 11:00:00,4501.26
2025-09-16 12:00:00,4500.04
2025-09-16 13:00:00,4473.58
2025-09-16 14:00:00,4446.71
2025-09-16 15:00:00,4468.2
2025-09-16 16:00:00,4463.54
2025-09-16 17:00:00,4486.62
2025-09-16 18:00:00,4474.63
2025-09-16 19:00:00,4491.21
2025-09-16 20:00:00,4498.23
2025-09-16 21:00:00,4507.65
2025-09-16 22:00:00,4520.5
2025-09-16 23:00:00,4501.29
2025-09-17 00:00:00,4513.44
2025-09-17 01:00:00,4513.8
