variant,horizon_bars,y_true,y_pred
thetaBiquatBasis,4,112344.76,121370.05949409258
raw,4,112451.53,113771.8
thetaBiquatBasis,4,112451.53,121312.4162238054
raw,4,112640.04,114617.32
thetaBiquatBasis,4,112640.04,121093.81583326585
raw,4,112514.58,112774.5
thetaBiquatBasis,4,112514.58,121204.18686842211
raw,4,111951.38,112344.76
thetaBiquatBasis,4,111951.38,121252.93151039019
raw,4,111260.89,112451.53
thetaBiquatBasis,4,111260.89,121280.59434500524
raw,4,111245.34,112640.04
thetaBiquatBasis,4,111245.34,121220.35384519794
raw,4,111095.37,112514.58
thetaBiquatBasis,4,111095.37,121197.63719982252
raw,4,111949.01,111951.38
thetaBiquatBasis,4,111949.01,121162.56424304392
raw,4,112180.24,111260.89
thetaBiquatBasis,4,112180.24,121139.31390927568
raw,4,113172.58,111245.34
thetaBiquatBasis,4,113172.58,121156.62144223982
raw,4,113196.48,111095.37
thetaBiquatBasis,4,113196.48,121149.59374353045
raw,4,112360.39,111949.01
thetaBiquatBasis,4,112360.39,120912.56710940419
raw,4,111880.26,112180.24
thetaBiquatBasis,4,111880.26,120825.89247915213
raw,4,111880.48,113172.58
thetaBiquatBasis,4,111880.48,120613.80060970197
raw,4,112300.01,113196.48
thetaBiquatBasis,4,112300.01,120736.39306391841
raw,4,112436.59,112360.39
thetaBiquatBasis,4,112436.59,120776.62722809444
raw,4,112274.66,111880.26
thetaBiquatBasis,4,112274.66,120775.39821981831
raw,4,112110.48,111880.48
thetaBiquatBasis,4,112110.48,120680.01591357248
raw,4,112945.79,112300.01
thetaBiquatBasis,4,112945.79,120639.1292702733
raw,4,112660.4,112436.59
thetaBiquatBasis,4,112660.4,120598.7920334158
raw,4,112016.36,112274.66
thetaBiquatBasis,4,112016.36,120607.20543713588
raw,4,112034.01,112110.48
thetaBiquatBasis,4,112034.01,120640.4101014827
raw,4,112389.48,112945.79
thetaBiquatBasis,4,112389.48,120690.6117800084
raw,4,112366.16,112660.4
thetaBiquatBasis,4,112366.16,120451.25038528985
raw,4,112676.56,112016.36
thetaBiquatBasis,4,112676.56,120319.67728697452
raw,4,112149.71,112034.01
thetaBiquatBasis,4,112149.71,120095.87262036178
raw,4,112045.99,112389.48
thetaBiquatBasis,4,112045.99,120222.59694720893
raw,4,111397.9,112366.16
thetaBiquatBasis,4,111397.9,120284.65103452676
raw,4,110754.18,112676.56
thetaBiquatBasis,4,110754.18,120289.1172726723
raw,4,110632.88,112149.71
thetaBiquatBasis,4,110632.88,120193.23070187523
raw,4,110384.61,112045.99
thetaBiquatBasis,4,110384.61,120173.04589414499
raw,4,110274.46,111397.9
thetaBiquatBasis,4,110274.46,120139.11389517749
raw,4,110949.22,110754.18
thetaBiquatBasis,4,110949.22,120123.1768721028
raw,4,111242.26,110632.88
thetaBiquatBasis,4,111242.26,120136.86921277753
raw,4,111328.38,110384.61
thetaBiquatBasis,4,111328.38,120192.96370169122
raw,4,111550.16,110274.46
thetaBiquatBasis,4,111550.16,119978.36888870352
raw,4,111757.95,110949.22
thetaBiquatBasis,4,111757.95,119837.62776007669
raw,4,111823.15,111242.26
thetaBiquatBasis,4,111823.15,119630.56586514146
raw,4,111642.78,111328.38
thetaBiquatBasis,4,111642.78,119736.605461885
raw,4,111894.67,111550.16
thetaBiquatBasis,4,111894.67,119801.61669796627
raw,4,112197.42,111757.95
thetaBiquatBasis,4,112197.42,119749.66022842296
raw,4,112027.74,111823.15
thetaBiquatBasis,4,112027.74,119625.69181010449
raw,4,112114.64,111642.78
thetaBiquatBasis,4,112114.64,119597.8517550161
raw,4,112034.0,111894.67
thetaBiquatBasis,4,112034.0,119535.95173097105
