variant,model,runs,sharpe_mean,maxdd_mean,cagr_mean,total_return_mean,trades_sum,fees_sum
raw,logreg,1,-0.22994099983285313,1.0203274870940846,-1.0,-0.9997423436407213,10,2.3181114532539873
fft_reim,logreg,1,-0.13181983732532632,1.0138115810699384,-1.0,-0.9999997036185009,14,6.787229424329664
theta_reim,logreg,1,0.0,0.0,0.0,0.0,2,2.24277934982162
theta_magphase,logreg,1,-26.297888357102238,0.0011200000000000045,-0.013357517906661953,-0.0011200000000000099,2,2.2533571156132233
