timestamp,close,position_btc,equity,drawdown,target_exposure,action,bar_state,target_exposure_raw,target_exposure_final,delta_e,delta_e_min,suppressed,clamped_long_only
2024-04-30 03:00:00+00:00,63647.99,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031602793098166465,True,False
2024-04-30 04:00:00+00:00,63403.98,0.0,1000.0,0.0,-0.0,HOLD,closed,-0.0,0.0,0.0,0.0316034199127877,True,False
2024-04-30 05:00:00+00:00,63330.0,0.0007885940283244049,1000.0768448137845,0.0,0.05,BUY,closed,0.05,0.05,0.05,0.031602793098166465,False,False
2024-04-30 06:00:00+00:00,63412.0,0.0,999.9769864649869,-9.985067579103736e-05,0.0,SELL,closed,0.0,0.0,0.049999249154153644,0.03160256133377934,False,False
2024-04-30 07:00:00+00:00,63148.74,0.0,999.9769864649869,-9.985067579103736e-05,0.0,HOLD,closed,0.0,0.0,0.0,0.03160304598833469,True,False
2024-04-30 08:00:00+00:00,61919.32,0.0007917632136959399,999.1395802430206,-0.000937192552376719,0.05,BUY,closed,0.05,0.05,0.05,0.031642837510812816,False,False
2024-04-30 09:00:00+00:00,61688.01,0.0007917632136959399,998.9564374940605,-0.0011203212288477854,0.05,HOLD,closed,0.05,0.048893320279942316,0.0011066797200576864,0.031632092860756494,True,False
2024-04-30 10:00:00+00:00,61782.19,0.0007917632136959399,999.0310057535264,-0.0010457586991256197,0.05,HOLD,closed,0.05,0.048964311439640716,0.0010356885603592866,0.03162532978141966,True,False
2024-04-30 11:00:00+00:00,61204.42,0.0,998.9331885795511,-0.0011435683569359515,0.0,SELL,closed,0.0,0.0,0.04852863200075499,0.0316342003602976,False,False
2024-04-30 12:00:00+00:00,61230.16,0.0008160630815488224,999.0894664168695,-0.000987302527836105,0.05,BUY,closed,0.05,0.05,0.05,0.03161369346663315,False,False
2024-04-30 13:00:00+00:00,60820.57,0.0,998.9895560545995,-0.0010872052131029248,0.0,SELL,closed,0.0,0.0,0.04969528171007689,0.031606351899796936,False,False
2024-04-30 14:00:00+00:00,61247.87,0.0008212594783333203,999.4756892719969,-0.0006011093496516098,0.05,BUY,closed,0.05,0.05,0.05,0.031611030098805254,False,False
2024-04-30 15:00:00+00:00,60796.85,0.0,999.3751136346633,-0.0007016772588629309,0.0,SELL,closed,0.0,0.0,0.04997470244009436,0.0316160263475517,False,False
2024-04-30 16:00:00+00:00,60336.68,0.0,999.3751136346633,-0.0007016772588629309,0.0,HOLD,closed,0.0,0.0,0.0,0.03161984632035361,True,False
2024-04-30 17:00:00+00:00,60368.81,0.0008281654821202156,999.5371421806233,-0.0005396611629996776,0.05,BUY,closed,0.05,0.05,0.05,0.031618353003214444,False,False
2024-04-30 18:00:00+00:00,60403.67,0.0,999.437184714124,-0.0006396109488762847,0.0,SELL,closed,0.0,0.0,0.050045953829323024,0.031616268159562894,False,False
2024-04-30 19:00:00+00:00,59292.95,0.0,999.437184714124,-0.0006396109488762847,0.0,HOLD,closed,0.0,0.0,0.0,0.03164891609054832,True,False
2024-04-30 20:00:00+00:00,59958.62,0.00084279596875693,999.8982400022454,-0.0001785910877402358,0.05,BUY,closed,0.05,0.05,0.05,0.03166093696214348,False,False
2024-04-30 21:00:00+00:00,60180.0,0.0,1000.0357021558873,-4.113949654028876e-05,0.0,SELL,closed,0.0,0.0,0.05071515983255063,0.03166130198749062,False,False
2024-04-30 22:00:00+00:00,60589.79,0.0,1000.0357021558873,-4.113949654028876e-05,0.0,HOLD,closed,0.0,0.0,0.0,0.03165734340906595,True,False
2024-04-30 23:00:00+00:00,60672.0,0.0,1000.0357021558873,-4.113949654028876e-05,0.0,HOLD,closed,0.0,0.0,0.0,0.03165173226821144,True,False
2024-05-01 00:00:00+00:00,60240.57,0.0,1000.0357021558873,-4.113949654028876e-05,0.0,HOLD,closed,0.0,0.0,0.0,0.03165471036291975,True,False
2024-05-01 01:00:00+00:00,60133.78,0.000830034921771908,1000.0832644297966,0.0,0.05,BUY,closed,0.05,0.05,0.05,0.0316525290620156,False,False
2024-05-01 02:00:00+00:00,59927.99,0.000830034921771908,999.9124515432452,-0.0001707986650979433,0.05,HOLD,closed,0.05,0.0497466797366373,0.000253320263362701,0.031651405839157265,True,False
2024-05-01 03:00:00+00:00,60246.03,0.000830034921771908,1000.1764358497655,0.0,0.05,HOLD,closed,0.05,0.049997487448933835,2.512551066168045e-06,0.031652178970602074,True,False
2024-05-01 04:00:00+00:00,60283.99,0.0,1000.0764399515709,-9.99782584456196e-05,0.0,SELL,closed,0.0,0.0,0.050027414024397476,0.0316494843370613,False,False
2024-05-01 05:00:00+00:00,60050.0,0.0,1000.0764399515709,-9.99782584456196e-05,0.0,HOLD,closed,0.0,0.0,0.0,0.03165016420949138,True,False
2024-05-01 06:00:00+00:00,59529.94,0.0008327032526996017,999.7796955435414,-0.0003966703193592872,0.05,BUY,closed,0.05,0.05,0.05,0.03165679056736928,False,False
2024-05-01 07:00:00+00:00,57499.99,0.0008327032526996017,998.0893495757238,-0.0020867181021602048,0.05,HOLD,closed,0.05,0.04797208659079268,0.00202791340920732,0.031776696213564465,True,False
