timestamp,side,price,bar_open,bar_close,qty,fee,slippage,notional,execution_type,target_exposure_raw,target_exposure_final,delta_e,delta_e_min,suppressed,clamped_long_only
1970-01-01 00:28:34.543200+00:00,buy,59796.832476211894,60049.99,59529.94,0.0008326396057684606,0.049789211019195756,0.0,49.789211019195754,limit,0.05,0.05,0.05,0.032877066471992816,False,False
1970-01-01 00:28:34.561200+00:00,sell,57739.79566,57768.68,57898.47,0.0008326396057684606,0.048076440695493876,0.02405024547047958,48.07644069549387,market,0.0,0.0,0.04818425972409035,0.033950374443742465,False,False
1970-01-01 00:28:34.572000+00:00,buy,57329.940644999995,57301.29,57482.0,0.0008709797927578184,0.04993321982180012,0.024954132844472822,49.93321982180012,market,0.05,0.05,0.05,0.033958480683881215,False,False
1970-01-01 00:28:34.575600+00:00,sell,57453.268995000006,57482.01,56886.0,0.0008709797927578184,0.0500406363225243,0.02503283457854813,50.0406363225243,market,0.0,0.0,0.050154800468680365,0.034016695442512596,False,False
1970-01-01 00:28:34.579200+00:00,buy,56914.443,56886.0,57043.99,0.0008773008907782844,0.049931091542049895,0.02495306923640613,49.93109154204989,market,0.05,0.05,0.05,0.034016836289026825,False,False
1970-01-01 00:28:34.582800+00:00,sell,57310.37157160976,57044.0,57424.65,0.0008773008907782844,0.050278440030607705,0.0,50.278440030607705,limit,0.0,0.0,0.05013692645823331,0.03402524582665381,False,False
1970-01-01 00:28:34.593600+00:00,buy,56982.937229999996,56954.46,57361.7,0.0008764414194639177,0.04994220639108453,0.02495862388359764,49.942206391084525,market,0.05,0.05,0.05,0.03528881968342382,False,False
1970-01-01 00:28:34.597200+00:00,sell,57658.80428720983,57361.71,57909.03,0.0008764414194639177,0.05053456427407441,0.0,50.53456427407441,limit,0.0,0.0,0.050344558886518884,0.03534508514558474,False,False
1970-01-01 00:28:34.611600+00:00,buy,57467.0188420429,57767.3,57112.37,0.0008645132088850089,0.04968099686418977,0.0,49.68099686418977,limit,0.05,0.05,0.05,0.03539438052511781,False,False
1970-01-01 00:28:34.618800+00:00,sell,57435.14806,57463.88,57442.88,0.0008645132088850089,0.0496534441521362,0.024839141646889683,49.653444152136196,market,0.0,0.0,0.04973998657952427,0.03535187206353488,False,False
