strategy,before_total_return,before_sharpe,after_total_return,after_sharpe,before_trades,after_trades
meanrev,-0.4222659822625756,-0.07682197041932132,-0.22622389573070922,-0.0355884557301041,1002.0,934.0
kalman,-0.6682603406841432,-0.09414199734813983,-0.3049359309109032,-0.02906440396037966,762.0,927.0
kalman_mr_dual,-0.7220097286061496,-0.10873247728595375,-0.029944788550679058,-0.04989038244141467,772.0,771.0
