timestamp,side,price,bar_open,bar_close,qty,fee,slippage,notional,execution_type,target_exposure_raw,target_exposure_final,delta_e,delta_e_min,suppressed,clamped_long_only
1970-01-01 00:28:34.546800+00:00,buy,59255.834729972266,59529.94,57499.99,0.005039480973775549,0.2986186517068836,0.0,298.6186517068836,limit,0.3,0.3,0.3,0.03385901435528077,False,False
1970-01-01 00:28:34.561200+00:00,sell,57739.79566,57768.68,57898.47,0.005039480973775549,0.290978601658258,0.14556208187004832,290.978601658258,market,8.75651076269652e-27,8.75651076269652e-27,0.2934107449585928,0.033950374443742465,False,False
1970-01-01 00:28:34.572000+00:00,buy,57329.940644999995,57301.29,57482.0,0.00519163595068875,0.29763618090343413,0.14874371859239105,297.63618090343414,market,0.3,0.3,0.3,0.033958480683881215,False,False
1970-01-01 00:28:34.575600+00:00,sell,57453.268995000006,57482.01,56886.0,0.00519163595068875,0.2982764567990333,0.1492128348169055,298.2764567990333,market,8.75651076269652e-27,8.75651076269652e-27,0.3008420633371281,0.034016695442512596,False,False
1970-01-01 00:28:34.579200+00:00,buy,56914.443,56886.0,57043.99,0.00522819954287853,0.2975600648757861,0.14870567959809036,297.5600648757861,market,0.3,0.3,0.3,0.034016836289026825,False,False
1970-01-01 00:28:34.582800+00:00,sell,57310.37157160976,57044.0,57424.65,0.00522819954287853,0.2996300584528888,0.0,299.6300584528888,limit,8.75651076269652e-27,8.75651076269652e-27,0.30076313892256984,0.03402524582665381,False,False
1970-01-01 00:28:34.593600+00:00,buy,56982.937229999996,56954.46,57361.7,0.0052288896871016035,0.297957492822705,0.14890429426420357,297.957492822705,market,0.3,0.3,0.3,0.03528881968342382,False,False
1970-01-01 00:28:34.597200+00:00,sell,57658.80428720983,57361.71,57909.03,0.0052288896871016035,0.3014915271080012,0.0,301.4915271080012,limit,8.75651076269652e-27,8.75651076269652e-27,0.30167904533207307,0.03534508514558474,False,False
1970-01-01 00:28:34.615200+00:00,buy,57140.926185,57112.37,57463.87,0.005229064961229437,0.2987936149661811,0.14932214640985425,298.7936149661811,market,0.3,0.3,0.3,0.035386696952731944,False,False
1970-01-01 00:28:34.618800+00:00,sell,57435.14806,57463.88,57442.88,0.005229064961229437,0.30033212026357087,0.15024118072213524,300.33212026357086,market,8.75651076269652e-27,8.75651076269652e-27,0.3014707009455055,0.03535187206353488,False,False
1970-01-01 00:28:35.425200+00:00,buy,60527.32186443323,60745.99,60684.01,0.004919439747220839,0.2977605129727218,0.0,297.7605129727218,limit,0.3,0.3,0.3,0.031358822682921395,False,False
1970-01-01 00:28:35.432400+00:00,sell,60927.06662866168,60710.01,60972.0,0.004919439747220839,0.29972703325461064,0.0,299.72703325461066,limit,8.75651076269652e-27,8.75651076269652e-27,0.29964153459174137,0.03129962458737495,False,False
1970-01-01 00:28:35.626800+00:00,buy,62818.29345,62786.9,63172.69,0.004766072978773885,0.29939657098473355,0.14962347375546967,299.39657098473356,market,0.3,0.3,0.3,0.03123265154129093,False,False
1970-01-01 00:28:35.630400+00:00,sell,63141.11365,63172.7,63091.89,0.004766072978773885,0.30093515561695594,0.15054284923308386,300.9351556169559,market,8.75651076269652e-27,8.75651076269652e-27,0.30146858392494963,0.03116154886994224,False,False
1970-01-01 00:28:35.634000+00:00,buy,62869.57002491628,63091.88,62901.75,0.004746068329011081,0.2983832751537996,0.0,298.38327515379956,limit,0.3,0.3,0.3,0.03117446346675304,False,False
1970-01-01 00:28:35.666400+00:00,sell,62685.861390000005,62717.22,62042.0,0.004746068329011081,0.29751138141985756,0.14883010576278968,297.51138141985757,market,8.75651076269652e-27,8.75651076269652e-27,0.2985240012564087,0.03130030284520621,False,False
1970-01-01 00:28:35.670000+00:00,buy,62073.010995,62041.99,62035.39,0.004818565425397931,0.2991028646308526,0.14947669396843702,299.1028646308526,market,0.3,0.3,0.3,0.031277903181838984,False,False
1970-01-01 00:28:35.695200+00:00,sell,61914.432991298396,61695.98,61803.74,0.004818565425397931,0.29833874614498745,0.0,298.33874614498745,limit,8.75651076269652e-27,8.75651076269652e-27,0.2990066106024662,0.031216074335006033,False,False
1970-01-01 00:28:35.706000+00:00,buy,61211.56977653302,61427.54,61314.98,0.00485938516990427,0.297450594398645,0.0,297.450594398645,limit,0.3,0.3,0.3,0.031155763885107962,False,False
1970-01-01 00:28:35.713200+00:00,sell,61645.58670160638,61430.0,61596.52,0.00485938516990427,0.29955964980783395,0.0,299.5596498078339,limit,8.75651076269652e-27,8.75651076269652e-27,0.29978183419176896,0.031140340929655064,False,False
1970-01-01 00:28:35.734800+00:00,buy,61469.069175,61438.35,61696.0,0.004865913398540099,0.29910316729442066,0.14947684522459007,299.10316729442064,market,0.3,0.3,0.3,0.031052806465866473,False,False
1970-01-01 00:28:35.738400+00:00,sell,61665.142005,61695.99,61774.01,0.004865913398540099,0.3000572407050074,0.15010367218858067,300.05724070500736,market,8.75651076269652e-27,8.75651076269652e-27,0.3010599767686479,0.03105625485799035,False,False
1970-01-01 00:28:35.810400+00:00,buy,65892.919995,65859.99,66116.3,0.004539482775426298,0.29911977533984563,0.14948514509736774,299.1197753398456,market,0.3,0.3,0.3,0.03070130902551002,False,False
1970-01-01 00:28:35.860800+00:00,sell,66727.62728299412,66503.81,66011.01,0.004539482775426298,0.30290891469621767,0.0,302.90891469621766,limit,8.75651076269652e-27,8.75651076269652e-27,0.3022277218533666,0.03079381368830389,False,False
1970-01-01 00:28:35.864400+00:00,buy,65788.66880566865,66011.01,66328.05,0.004542902431747672,0.29887150349871433,0.0,298.87150349871433,limit,0.3,0.3,0.3,0.030800440382349803,False,False
1970-01-01 00:28:35.896800+00:00,sell,65429.259005,65461.99,65418.97,0.004542902431747672,0.29723873984126276,0.14869371677901214,297.23873984126277,market,8.75651076269652e-27,8.75651076269652e-27,0.29803646217932184,0.031020197295924146,False,False
1970-01-01 00:28:35.904000+00:00,buy,65267.827605,65235.21,65508.69,0.00458599439728712,0.29931789171963163,0.14958415378292186,299.31789171963163,market,0.3,0.3,0.3,0.031037652989018394,False,False
1970-01-01 00:28:35.907600+00:00,sell,65475.94565,65508.7,65340.84,0.00458599439728712,0.300272319907976,0.15021126558676126,300.272319907976,market,8.75651076269652e-27,8.75651076269652e-27,0.3010597454112782,0.03104134698332245,False,False
1970-01-01 00:28:35.947200+00:00,buy,66251.09899500001,66217.99,66379.97,0.004518180336386724,0.29933441274321926,0.14959241016653688,299.3344127432193,market,0.3,0.3,0.3,0.031138204981095707,False,False
1970-01-01 00:28:35.950800+00:00,sell,66346.78001500001,66379.97,65944.02,0.004518180336386724,0.29976671684634876,0.14995833759192503,299.76671684634874,market,8.75651076269652e-27,8.75651076269652e-27,0.3006936464995013,0.031178789487965902,False,False
1970-01-01 00:28:35.954400+00:00,buy,65976.99201,65944.02,66806.66,0.004534829936069824,0.2991944384587876,0.14952245800038308,299.1944384587876,market,0.3,0.3,0.3,0.03132853654609627,False,False
1970-01-01 00:28:35.958000+00:00,sell,67046.74075037878,66806.67,67195.1,0.004534829936069824,0.30404556707073027,0.0,304.04556707073027,limit,8.75651076269652e-27,8.75651076269652e-27,0.302917471920724,0.03134378424210299,False,False
1970-01-01 00:28:35.968800+00:00,buy,66462.90767003568,66702.51,66821.98,0.004501696050797955,0.2991958089827487,0.0,299.1958089827487,limit,0.3,0.3,0.3,0.03134036146170882,False,False
1970-01-01 00:28:35.976000+00:00,sell,67014.46600500001,67047.99,66890.0,0.004501696050797955,0.30167875696104235,0.150914835898452,301.6787569610423,market,8.75651076269652e-27,8.75651076269652e-27,0.30085207709386746,0.03135135764606631,False,False
