timestamp,side,price,qty,fee,slippage,notional,bar_close,target_exposure_raw,target_exposure_final,delta_e,delta_e_min,suppressed,clamped_long_only
2024-04-30 05:00:00+00:00,buy,63169.385274,0.0007885940283244049,0.049815,0.0,49.815,63330.0,0.05,0.05,0.05,0.031602793098166465,False,False
2024-04-30 06:00:00+00:00,sell,63298.33500000001,0.0007885940283244049,0.049916688983877675,0.024970829906887232,49.91668898387768,63412.0,0.0,0.0,0.049999249154153644,0.03160256133377934,False,False
2024-04-30 08:00:00+00:00,buy,62914.05324266712,0.0007917632136959399,0.049813032982051586,0.0,49.81303298205159,61919.32,0.05,0.05,0.05,0.031642837510812816,False,False
2024-04-30 11:00:00+00:00,sell,61751.28891,0.0007917632136959399,0.048892398957248055,0.024458428692968413,48.892398957248055,61204.42,0.0,0.0,0.04852863200075499,0.0316342003602976,False,False
2024-04-30 12:00:00+00:00,buy,60977.6801665663,0.0008160630815488224,0.049761633582426607,0.0,49.761633582426605,61230.16,0.05,0.05,0.05,0.03161369346663315,False,False
2024-04-30 13:00:00+00:00,sell,61199.54492000001,0.0008160630815488224,0.04994268921680079,0.02498383652666041,49.94268921680079,60820.57,0.0,0.0,0.04969528171007689,0.031606351899796936,False,False
2024-04-30 14:00:00+00:00,buy,60595.33845840156,0.0008212594783333203,0.04976449605177785,0.0,49.76449605177785,61247.87,0.05,0.05,0.05,0.031611030098805254,False,False
2024-04-30 15:00:00+00:00,sell,61217.24606500001,0.0008212594783333203,0.05027524356834441,0.02515019688261021,50.27524356834441,60796.85,0.0,0.0,0.04997470244009436,0.0316160263475517,False,False
2024-04-30 17:00:00+00:00,buy,60113.049402543154,0.0008281654821202156,0.04978355254017349,0.0,49.78355254017349,60368.81,0.05,0.05,0.05,0.031618353003214444,False,False
2024-04-30 18:00:00+00:00,sell,60338.635590000005,0.0008281654821202156,0.04997037523386835,0.024997686460159606,49.97037523386835,60403.67,0.0,0.0,0.050045953829323024,0.031616268159562894,False,False
2024-04-30 20:00:00+00:00,buy,59322.59647499999,0.00084279596875693,0.04999684516532405,0.02498592961784813,49.99684516532405,59958.62,0.05,0.05,0.05,0.03166093696214348,False,False
2024-04-30 21:00:00+00:00,sell,60181.904433085,0.00084279596875693,0.05072106644831885,0.0,50.72106644831885,60180.0,0.0,0.0,0.05071515983255063,0.03166130198749062,False,False
2024-05-01 01:00:00+00:00,buy,60016.46200445556,0.000830034921771908,0.04981575934489497,0.0,49.815759344894964,60133.78,0.05,0.05,0.05,0.0316525290620156,False,False
2024-05-01 04:00:00+00:00,sell,60215.89699,0.000830034921771908,0.04998129734751993,0.025003150248880838,49.98129734751993,60283.99,0.0,0.0,0.050027414024397476,0.0316494843370613,False,False
2024-05-01 06:00:00+00:00,buy,59826.476258086426,0.0008327032526996017,0.04981770137766406,0.0,49.81770137766406,59529.94,0.05,0.05,0.05,0.03165679056736928,False,False
2024-05-01 11:00:00+00:00,sell,57739.79566,0.0008327032526996017,0.048080115656292347,0.024052083870078615,48.08011565629234,57898.47,0.0,0.0,0.048288483835601206,0.031728248008545484,False,False
2024-05-01 14:00:00+00:00,buy,57329.940644999995,0.0008710248096764447,0.049935800639073,0.02495542260822738,49.935800639072994,57482.0,0.05,0.05,0.05,0.03171971221150466,False,False
2024-05-01 15:00:00+00:00,sell,57453.268995000006,0.0008710248096764447,0.05004322269165946,0.025034128410031452,50.04322269165946,56886.0,0.0,0.0,0.049660588967910174,0.031715806838856914,False,False
2024-05-01 16:00:00+00:00,buy,56914.443,0.0008773462344052427,0.049933672249321825,0.024954358945187705,49.93367224932182,57043.99,0.05,0.05,0.05,0.031715056795005664,False,False
2024-05-01 17:00:00+00:00,sell,57257.76650770649,0.0008773462344052427,0.05023488583599091,0.0,50.23488583599091,57424.65,0.0,0.0,0.0504546060392501,0.03171852674016323,False,False
2024-05-01 20:00:00+00:00,buy,56982.937229999996,0.0008764462418546074,0.04994248118507049,0.02495876121192646,49.94248118507049,57361.7,0.05,0.05,0.05,0.03189077406233615,False,False
2024-05-01 21:00:00+00:00,sell,57580.889264684105,0.0008764462418546074,0.05046655399867869,0.0,50.46655399867869,57909.03,0.0,0.0,0.05080052152664338,0.03189880526142455,False,False
2024-05-02 01:00:00+00:00,buy,57546.05240097451,0.0008644589183624505,0.04974619821457532,0.0,49.74619821457532,57112.37,0.05,0.05,0.05,0.031920837442227123,False,False
2024-05-02 03:00:00+00:00,sell,57684.03235634942,0.0008644589183624505,0.04986547621755441,0.0,49.86547621755441,57442.88,0.0,0.0,0.04972611832717637,0.03192369335302553,False,False
2024-05-02 17:00:00+00:00,buy,59047.038765,0.0008461628433305585,0.049963410211642106,0.024969220495572146,49.963410211642106,59190.24,0.05,0.05,0.05,0.03179162190446161,False,False
2024-05-02 18:00:00+00:00,sell,59413.83182360878,0.0008461628433305585,0.050273776869028425,0.0,50.273776869028424,59383.52,0.0,0.0,0.05029950378627578,0.03179220446820269,False,False
2024-05-02 20:00:00+00:00,buy,59126.71386154359,0.0008415631555883048,0.049758863896887384,0.0,49.758863896887384,58727.45,0.05,0.05,0.05,0.03179990554139292,False,False
2024-05-02 23:00:00+00:00,sell,59298.336,0.0008415631555883048,0.04990329476529558,0.024964129447368973,49.90329476529558,59060.61,0.0,0.0,0.04976052806061008,0.03180128202378679,False,False
2024-05-03 00:00:00+00:00,buy,58837.290587933254,0.0008457192990361081,0.04975983215321072,0.0,49.759832153210716,59031.81,0.05,0.05,0.05,0.031800799248343725,False,False
2024-05-03 02:00:00+00:00,sell,59535.41631621691,0.0008457192990361081,0.050350250554773844,0.0,50.350250554773844,59543.76,0.0,0.0,0.05038141449430581,0.03180326661391353,False,False
2024-05-03 05:00:00+00:00,buy,59633.801999999996,0.0008384203182436535,0.04999819125091902,0.024986602324294043,49.99819125091902,59522.67,0.05,0.05,0.05,0.03180321582216819,False,False
2024-05-03 10:00:00+00:00,sell,59451.369445000004,0.0008384203182436535,0.04984523609009792,0.024935085587840095,49.84523609009792,59040.0,0.0,0.0,0.04955527988096719,0.03168149398273559,False,False
2024-05-03 11:00:00+00:00,buy,59069.530005,0.000846173105912262,0.0499830476691084,0.024979034317394226,49.9830476691084,59291.09,0.05,0.05,0.05,0.03163076738114934,False,False
2024-05-03 13:00:00+00:00,sell,60867.42882973362,0.000846173105912262,0.05150438130174926,0.0,51.504381301749255,61689.94,0.0,0.0,0.05213240150132958,0.031685598355013556,False,False
2024-05-03 19:00:00+00:00,buy,61860.064575,0.0008091298682459428,0.05005282589925526,0.025013905996625466,50.05282589925526,62067.32,0.05,0.05,0.05,0.03162174639114251,False,False
2024-05-03 20:00:00+00:00,sell,62297.79872495755,0.0008091298682459428,0.05040700967433717,0.0,50.40700967433717,62900.0,0.0,0.0,0.050827044053681214,0.03163540416396682,False,False
2024-05-03 23:00:00+00:00,buy,62813.81120999999,0.0007970264206912418,0.05006426711868169,0.025019623747462586,50.06426711868169,62882.01,0.05,0.05,0.05,0.0315979197268324,False,False
2024-05-04 06:00:00+00:00,sell,63352.317995000005,0.0007970264206912418,0.050493471254048204,0.02525936530967667,50.4934712540482,62966.93,0.0,0.0,0.05014459126706491,0.03160594196376623,False,False
2024-05-04 07:00:00+00:00,buy,62998.403459999994,0.0007949120882096674,0.05007819244826373,0.02502658293266222,50.07819244826373,62959.03,0.05,0.05,0.05,0.03160517130981444,False,False
2024-05-04 11:00:00+00:00,sell,64388.68955,0.0007949120882096674,0.05118334766727449,0.025604476071672027,51.18334766727449,63873.31,0.0,0.0,0.05068832299715517,0.031642643917790286,False,False
2024-05-04 14:00:00+00:00,buy,63761.865,0.0007861419895861542,0.05012587941082377,0.025050414498161203,50.12587941082377,63819.09,0.05,0.05,0.05,0.03163151412755158,False,False
2024-05-04 20:00:00+00:00,sell,64148.220597194886,0.0007861419895861542,0.050429609768690306,0.0,50.429609768690305,63867.73,0.0,0.0,0.05010765494356203,0.031243282258818034,False,False
2024-05-04 21:00:00+00:00,buy,63640.86746491245,0.0007845860088212775,0.04993173420221955,0.0,49.93173420221955,63903.91,0.05,0.05,0.05,0.03124372660029945,False,False
2024-05-05 08:00:00+00:00,sell,63704.991570000006,0.0007845860088212775,0.04998204507789943,0.02500352430109633,49.98204507789943,63668.0,0.0,0.0,0.04984505460802356,0.031223489858828946,False,False
2024-05-05 19:00:00+00:00,buy,63964.576304999995,0.0007837315713786749,0.05013105790008881,0.025053002448815653,50.131057900088805,63879.94,0.05,0.05,0.05,0.031212360144308088,False,False
2024-05-06 00:00:00+00:00,sell,64240.46635314155,0.0007837315713786749,0.05034728164104652,0.0,50.34728164104652,64218.02,0.0,0.0,0.05021702553283288,0.031284638214526345,False,False
2024-05-06 03:00:00+00:00,buy,63857.99304,0.0007851107183394055,0.05013559478734716,0.025055269758793755,50.13559478734716,63866.59,0.05,0.05,0.05,0.03126178612013178,False,False
2024-05-06 05:00:00+00:00,sell,64133.92699500001,0.0007851107183394055,0.05035223349297145,0.02518871110203135,50.35223349297145,64186.93,0.0,0.0,0.05027349943228799,0.031262458830072615,False,False
2024-05-06 11:00:00+00:00,buy,64039.16358,0.0007829410781920729,0.050138891779843736,0.025056917431203814,50.13889177984373,64203.56,0.05,0.05,0.05,0.031231740743474512,False,False
2024-05-06 21:00:00+00:00,sell,63535.54889448602,0.0007829410781920729,0.04974459115497405,0.0,49.74459115497405,63550.29,0.0,0.0,0.04966580327814975,0.031334959052881306,False,False
2024-05-07 00:00:00+00:00,buy,63196.76259,0.000792966517488761,0.050112916747556316,0.025043936405573914,50.11291674755631,63545.45,0.05,0.05,0.05,0.03133430877153759,False,False
2024-05-07 01:00:00+00:00,sell,63773.59864697636,0.000792966517488761,0.05057032842681881,0.0,50.570328426818804,63895.72,0.0,0.0,0.05055409983963061,0.03133642383557991,False,False
2024-05-07 04:00:00+00:00,buy,63271.11975,0.0007922968561743035,0.05012950926455288,0.025052228518015866,50.12950926455288,63466.26,0.05,0.05,0.05,0.03133454830782445,False,False
2024-05-07 05:00:00+00:00,sell,63694.10436283882,0.0007922968561743035,0.050464638643515185,0.0,50.46463864351519,63563.48,0.0,0.0,0.05024830801773981,0.03133489423270314,False,False
2024-05-07 12:00:00+00:00,buy,63522.175214999996,0.0007893304736818081,0.05013998865175476,0.025057465593077182,50.139988651754756,63663.02,0.05,0.05,0.05,0.03129353504356072,False,False
2024-05-07 15:00:00+00:00,sell,64253.58584755467,0.0007893304736818081,0.05071731335280504,0.0,50.71731335280504,63740.48,0.0,0.0,0.05019205611001321,0.031307537534459806,False,False
2024-05-07 17:00:00+00:00,buy,63406.84192929628,0.0007879044152792292,0.0499585307150047,0.0,49.9585307150047,63391.79,0.05,0.05,0.05,0.03128581394353239,False,False
2024-05-08 03:00:00+00:00,sell,62724.622,0.0007879044152792292,0.04942100662052068,0.024722864742629268,49.42100662052068,62893.99,0.0,0.0,0.04944093618295273,0.03132235444904444,False,False
2024-05-08 05:00:00+00:00,buy,62551.410075,0.0008014123503863346,0.0501294725681852,0.025052210179001753,50.1294725681852,62617.71,0.05,0.05,0.05,0.031326662471597544,False,False
2024-05-08 06:00:00+00:00,sell,62586.401145,0.0008014123503863346,0.05015751484383643,0.025091303073451476,50.15751484383643,62505.98,0.0,0.0,0.049994234878882486,0.03132262962154378,False,False
2024-05-08 08:00:00+00:00,buy,62239.104,0.0008053353418652831,0.05012335009722891,0.02504915047337725,50.12335009722891,62375.99,0.05,0.05,0.05,0.031323578456381534,False,False
2024-05-08 09:00:00+00:00,sell,62344.802005000005,0.0008053353418652831,0.050208472436220064,0.025116794615412063,50.20847243622006,62302.01,0.0,0.0,0.0500767860985295,0.03132279952661715,False,False
2024-05-08 20:00:00+00:00,buy,61959.28742554439,0.0008056525455809593,0.04991765763677216,0.0,49.91765763677216,61570.01,0.05,0.05,0.05,0.031215985375607158,False,False
2024-05-09 02:00:00+00:00,sell,61520.214505,0.0008056525455809593,0.04956391742063991,0.02479435588825958,49.56391742063991,61664.64,0.0,0.0,0.0496002519987132,0.031223642066784213,False,False
2024-05-12 21:00:00+00:00,buy,61070.01827672121,0.0008083342282464798,0.04936498609271186,0.0,49.36498609271186,61236.0,0.04946760512542861,0.04946760512542861,0.04946760512542861,0.031098473673335403,False,False
2024-05-13 00:00:00+00:00,sell,61698.1182630696,0.0008083342282464798,0.04987270081043841,0.0,49.87270081043841,61512.89,0.0,0.0,0.04963704030231011,0.031075251030740325,False,False
2024-05-13 02:00:00+00:00,buy,61202.17531366339,0.0008156124314999842,0.04991725502066531,0.0,49.91725502066531,61044.26,0.05,0.05,0.05,0.031068325299223043,False,False
2024-05-13 07:00:00+00:00,sell,61719.03635515459,0.0008156124314999842,0.05033881331146356,0.0,50.33881331146356,62334.37,0.0,0.0,0.050703553278204916,0.03110499379569709,False,False
2024-05-13 14:00:00+00:00,buy,62811.04983,0.0007981505527528272,0.05013267414079988,0.02505381016531734,50.13267414079988,62747.87,0.05,0.05,0.05,0.03111307049128198,False,False
2024-05-13 16:00:00+00:00,sell,63222.46762557531,0.0007981505527528272,0.050461047481750655,0.0,50.461047481750654,63178.89,0.0,0.0,0.05030699754418981,0.031115964646709626,False,False
2024-05-13 18:00:00+00:00,buy,62590.7705321971,0.0007979199121467522,0.04994242212424824,0.0,49.94242212424824,62786.9,0.05,0.05,0.05,0.03111373296618236,False,False
2024-05-13 20:00:00+00:00,sell,63141.11365,0.0007979199121467522,0.0503815518564561,0.025203377617034783,50.3815518564561,63091.89,0.0,0.0,0.0502064646700478,0.031116531129120634,False,False
2024-05-13 21:00:00+00:00,buy,62871.096059051466,0.0007946099678773752,0.049957999619898254,0.0,49.95799961989825,62901.75,0.05,0.05,0.05,0.0311160332008886,False,False
