variant,model,runs,sharpe_mean,maxdd_mean,cagr_mean,total_return_mean,trades_sum,fees_sum
fft_complex,ckalman,1,0.0,0.0,0.0,0.0,0,0.0
theta_complex,ckalman,1,0.0,0.0,0.0,0.0,0,0.0
