variant,model,upper,lower,runs,sharpe,maxdd,cagr,total_return,trades,fees
raw,logreg,0.505,0.495,1,0.37850307002052647,1.0082638068932068,-1.0,-1.0,70,2.2699913316795377
fft_reim,logreg,0.505,0.495,1,0.2856303705273318,1.0000164304800445,-1.0,-1.0,38,6.74959727246191
theta_reim,logreg,0.51,0.495,1,0.14035888844696884,1.0065015272208437,-1.0,-1.000000000228794,18,6.75360211378844
