variant,model,upper,lower,runs,sharpe,maxdd,cagr,total_return,trades,fees
raw,logreg,0.508,0.488,1,5.341150858780004,1.000749903872056,-1.0,-1.0,52,4.3186290984744335
fft_reim,logreg,0.502,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
theta_reim,logreg,0.502,0.498,1,0.14805602587639521,1.0076467625590193,-1.0,-1.0000696814231793,10,1.458320741629631
