upper,lower,runs,sharpe_mean,maxdd_mean,cagr_mean,total_return_mean,trades_sum,fees_sum
0.502,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.502,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.502,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.502,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.502,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.502,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.504,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.506,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.508,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.51,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.498,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.496,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.494,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.492,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.49,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
0.512,0.488,1,0.17175104902265945,1.0007492003920946,-1.0,-1.0,62,4.318617781012312
