variant,horizon_bars,bucket,edge_low,edge_high,count,sign_acc,mean_abs_move
raw,4,0,0.0,2.1800000000000637,974,0.4681724845995893,1.0818069815194986
raw,4,1,2.1800000000000637,4.460000000000036,975,0.5046153846153846,3.27690256410257
raw,4,2,4.460000000000036,6.860000000000127,972,0.5051440329218106,5.615298353909464
raw,4,3,6.860000000000127,9.61999999999989,976,0.5061475409836066,8.240901639344273
raw,4,4,9.61999999999989,12.799999999999955,971,0.4933058702368692,11.111730175077248
raw,4,5,12.799999999999955,16.490000000000702,974,0.5051334702258727,14.626457905544159
raw,4,6,16.490000000000702,21.21000000000051,973,0.5405960945529291,18.706608427543685
raw,4,7,21.21000000000051,27.75,974,0.5225872689938398,24.321098562628336
raw,4,8,27.75,40.64499999999998,973,0.5241521068859198,33.281253854059614
raw,4,9,40.64499999999998,434.4000000000001,974,0.5041067761806981,64.88665297741272
thetaMixSVD,4,0,0.0,2.1800000000000637,974,0.502053388090349,1.0818069815194986
thetaMixSVD,4,1,2.1800000000000637,4.460000000000036,975,0.5158974358974359,3.27690256410257
thetaMixSVD,4,2,4.460000000000036,6.860000000000127,972,0.5216049382716049,5.615298353909464
thetaMixSVD,4,3,6.860000000000127,9.61999999999989,976,0.5532786885245902,8.240901639344273
thetaMixSVD,4,4,9.61999999999989,12.799999999999955,971,0.5612770339855818,11.111730175077248
thetaMixSVD,4,5,12.799999999999955,16.490000000000702,974,0.5441478439425051,14.626457905544159
thetaMixSVD,4,6,16.490000000000702,21.21000000000051,973,0.527235354573484,18.706608427543685
thetaMixSVD,4,7,21.21000000000051,27.75,974,0.5154004106776181,24.321098562628336
thetaMixSVD,4,8,27.75,40.64499999999998,973,0.4984583761562179,33.281253854059614
thetaMixSVD,4,9,40.64499999999998,434.4000000000001,974,0.4209445585215606,64.88665297741272
