variant,horizon_bars,N,SSE,MSE,score
raw,4,9644,2042461784.5031998,211785.75119278306,211785.75119278306
fft,4,9644,14017645235.36562,1453509.4603241,1453509.4603241
fftRefined,4,9644,14271552135.058018,1479837.4258666546,1479837.4258666546
raw,96,9552,40015022142.5955,4189177.359986966,4189177.359986966
fft,96,9552,80127884716.46092,8388597.646195658,8388597.646195658
fftRefined,96,9552,87681548888.7172,9179391.634078434,9179391.634078434
