variant,horizon_bars,bucket,edge_low,edge_high,count,sign_acc,mean_abs_move
raw,4,0,0.0,33.80500000000029,974,0.5318275154004107,17.063593429158114
raw,4,1,33.80500000000029,67.25,974,0.502053388090349,50.824476386037
raw,4,2,67.25,104.98999999999798,973,0.47070914696813976,85.45747173689627
raw,4,3,104.98999999999798,145.89999999999418,974,0.48767967145790553,125.05481519507192
raw,4,4,145.89999999999418,190.48500000000786,973,0.5477903391572456,167.4911099691674
raw,4,5,190.48500000000786,245.7599999999948,974,0.5164271047227926,217.76633470225863
raw,4,6,245.7599999999948,314.0699999999998,973,0.5241521068859198,277.6449126413156
raw,4,7,314.0699999999998,413.66999999999825,974,0.5256673511293635,359.24821355236116
raw,4,8,413.66999999999825,601.0149999999994,973,0.5251798561151079,491.4635662898253
raw,4,9,601.0149999999994,8633.820000000007,974,0.5041067761806981,976.3349691991784
thetaMixSVD,4,0,0.0,33.80500000000029,974,0.5318275154004107,17.063593429158114
thetaMixSVD,4,1,33.80500000000029,67.25,974,0.5154004106776181,50.824476386037
thetaMixSVD,4,2,67.25,104.98999999999798,973,0.5457348406988695,85.45747173689627
thetaMixSVD,4,3,104.98999999999798,145.89999999999418,974,0.526694045174538,125.05481519507192
thetaMixSVD,4,4,145.89999999999418,190.48500000000786,973,0.5560123329907503,167.4911099691674
thetaMixSVD,4,5,190.48500000000786,245.7599999999948,974,0.5174537987679672,217.76633470225863
thetaMixSVD,4,6,245.7599999999948,314.0699999999998,973,0.5231243576567317,277.6449126413156
thetaMixSVD,4,7,314.0699999999998,413.66999999999825,974,0.555441478439425,359.24821355236116
thetaMixSVD,4,8,413.66999999999825,601.0149999999994,973,0.5046248715313464,491.4635662898253
thetaMixSVD,4,9,601.0149999999994,8633.820000000007,974,0.46406570841889117,976.3349691991784
