variant,horizon_bars,bucket,edge_low,edge_high,count,sign_acc,mean_abs_move
raw,4,0,0.0,0.38999999999998636,981,0.4750254841997961,0.1931804281345552
raw,4,1,0.38999999999998636,0.82000000000005,971,0.5221421215242018,0.6049536560247166
raw,4,2,0.82000000000005,1.3000000000000682,976,0.5133196721311475,1.0550819672131144
raw,4,3,1.3000000000000682,1.8000000000000682,969,0.49432404540763675,1.5452941176470574
raw,4,4,1.8000000000000682,2.4600000000000364,978,0.5276073619631901,2.1162883435582827
raw,4,5,2.4600000000000364,3.259999999999991,972,0.5267489711934157,2.8361316872427964
raw,4,6,3.259999999999991,4.289999999999964,970,0.4979381443298969,3.7585670103092768
raw,4,7,4.289999999999964,5.769999999999982,974,0.5164271047227926,4.983880903490758
raw,4,8,5.769999999999982,8.759999999999991,973,0.513874614594039,7.07213771839671
raw,4,9,8.759999999999991,260.0,972,0.4691358024691358,16.215689300411523
thetaMixSVD,4,0,0.0,0.38999999999998636,981,0.5127420998980632,0.1931804281345552
thetaMixSVD,4,1,0.38999999999998636,0.82000000000005,971,0.5190525231719877,0.6049536560247166
thetaMixSVD,4,2,0.82000000000005,1.3000000000000682,976,0.5420081967213115,1.0550819672131144
thetaMixSVD,4,3,1.3000000000000682,1.8000000000000682,969,0.5242518059855521,1.5452941176470574
thetaMixSVD,4,4,1.8000000000000682,2.4600000000000364,978,0.5143149284253579,2.1162883435582827
thetaMixSVD,4,5,2.4600000000000364,3.259999999999991,972,0.5257201646090535,2.8361316872427964
thetaMixSVD,4,6,3.259999999999991,4.289999999999964,970,0.5175257731958763,3.7585670103092768
thetaMixSVD,4,7,4.289999999999964,5.769999999999982,974,0.5164271047227926,4.983880903490758
thetaMixSVD,4,8,5.769999999999982,8.759999999999991,973,0.4789311408016444,7.07213771839671
thetaMixSVD,4,9,8.759999999999991,260.0,972,0.4660493827160494,16.215689300411523
