variant,horizon_bars,N,sign_acc,sign_bacc,precision_up,recall_up,MAE_ret,MSE_ret,trades,pnl_total,pnl_avg
raw,4,9736,0.5136106831022085,0.5136094103123501,0.5159170260833846,0.513911620294599,276.843705834018,177900.7465419063,172,-4669.217423999957,-27.14661293023231
thetaMixSVD,4,9736,0.5240883410374936,0.5241625322427661,0.5270327799063431,0.5065466448445172,276.843705834018,177900.7465419063,3593,-42593.30382700003,-11.854523748121355
