timestamp,close,pred_raw_h1,pred_raw_h24,pred_thetaOrtho_h1,pred_thetaOrtho_h24
2024-09-04T23:00:00,57970.9,58130.99,58130.99,57330.27420759002,56920.92700791583
2024-09-05T00:00:00,57997.75,57970.9,57970.9,55829.22110773875,55583.69458943719
2024-09-05T01:00:00,58021.99,57997.75,57997.75,55824.926544479415,55634.67980114568
2024-09-05T02:00:00,57692.99,58021.99,58021.99,55824.14733668801,55687.08152304401
2024-09-05T03:00:00,57135.42,57692.99,57692.99,55819.388271183416,55734.00596893834
2024-09-05T04:00:00,57206.4,57135.42,57135.42,55805.38635035691,55770.8862006655
2024-09-05T05:00:00,57194.99,57206.4,57206.4,55796.69156164649,55810.46065138949
2024-09-05T06:00:00,56914.01,57194.99,57194.99,55791.94413877925,55851.21324036909
2024-09-05T07:00:00,57155.1,56914.01,56914.01,55784.503297237046,55887.37426117112
2024-09-05T08:00:00,57004.0,57155.1,57155.1,55785.71737588104,55928.97919147596
2024-09-05T09:00:00,56797.0,57004.0,57004.0,56335.81123684049,56558.33758184311
2024-09-05T10:00:00,56771.0,56797.0,56797.0,56363.04186906953,56566.45106783893
2024-09-05T11:00:00,56698.01,56771.0,56771.0,56391.086171881085,56572.755683668314
2024-09-05T12:00:00,56662.0,56698.01,56698.01,56418.65662742128,56576.30901803557
2024-09-05T13:00:00,57028.62,56662.0,56662.0,56446.446277605675,56577.84286389808
2024-09-05T14:00:00,56558.01,57028.62,57028.62,56483.77212994853,56587.106872895856
2024-09-05T15:00:00,55976.01,56558.01,56558.01,57190.23055981539,56784.65366631772
2024-09-05T16:00:00,56335.0,55976.01,55976.01,57156.77488427417,56746.00027351974
2024-09-05T17:00:00,56602.99,56335.0,56335.0,57130.7780084755,56716.936783706835
2024-09-05T18:00:00,56548.99,56602.99,56602.99,57110.5034608478,56695.10382036343
2024-09-05T19:00:00,56060.01,56548.99,56548.99,57088.8741047477,56671.94429689525
2024-09-05T20:00:00,56094.0,56060.01,56060.01,56620.19306802184,56518.515226214775
2024-09-05T21:00:00,56150.6,56094.0,56094.0,56636.84435227757,56496.288699414996
2024-09-05T22:00:00,56104.6,56150.6,56150.6,56654.366003063136,56473.30509446568
2024-09-05T23:00:00,56180.0,56104.6,56104.6,56670.15013803072,56445.53720234011
2024-09-06T00:00:00,56182.0,56180.0,56180.0,56686.90459080557,56416.930991164576
2024-09-06T01:00:00,56558.99,56182.0,56182.0,55852.486072345084,56149.87147754914
2024-09-06T02:00:00,56738.0,56558.99,56558.99,55804.65153733687,56213.509944635465
2024-09-06T03:00:00,56588.0,56738.0,56738.0,55766.93327259775,56276.322228442215
2024-09-06T04:00:00,56594.66,56588.0,56588.0,55733.18158810808,56335.0627966778
2024-09-06T05:00:00,56491.01,56594.66,56594.66,55705.61775407671,56388.281997300175
2024-09-06T06:00:00,56430.01,56491.01,56491.01,55684.245767683875,56437.048514793794
2024-09-06T07:00:00,55804.29,56430.01,56430.01,55667.91083763642,56477.938917348896
2024-09-06T08:00:00,55783.01,55804.29,55804.29,55645.713631647406,56506.4221703828
2024-09-06T09:00:00,55889.86,55783.01,55783.01,55632.47384627173,56530.4589413425
2024-09-06T10:00:00,56178.01,55889.86,55889.86,55628.12787134979,56546.87214129598
2024-09-06T11:00:00,55999.09,56178.01,56178.01,55640.342251196715,56562.352531892866
2024-09-06T12:00:00,56873.99,55999.09,55999.09,55654.64507143141,56566.531211944784
2024-09-06T13:00:00,55896.01,56873.99,56873.99,55697.24911999523,56574.443872404365
