variant,horizon_bars,N,SSE,MSE,score
raw,1,9719,3885046166.350199,399737.2328789175,399737.2328789175
raw,24,9696,44292806917.8087,4568152.528651888,4568152.528651888
thetaOrtho,1,9719,46048700236.91278,4738008.04989328,4738008.04989328
thetaOrtho,24,9696,101906571824.24292,10510166.235998651,10510166.235998651
