variant,horizon_bars,N,sign_acc,sign_bacc,precision_up,recall_up,MAE_ret,MSE_ret,trades,pnl_total,pnl_avg
raw,4,9643,0.512703515503474,0.5127057957061132,0.5173344405231471,0.5124408801151552,303.66586893405224,211786.35600750725,4818,44184.936400000166,4.581598548320216
thetaBiquatTrue,4,9643,0.5144664523488541,0.5145982988271957,0.5193582887700535,0.4992802796627596,947.3275682476012,1612591.89201997,4675,-1112.9449999999051,-0.11540284114474338
raw,96,9551,0.5107318605381636,0.5108620034035468,0.5488879563575325,0.5091475282210977,1476.3443676716918,4190377.4062550254,4767,257218.99659999966,26.92828691373531
thetaBiquatTrue,96,9551,0.48884933514815204,0.48654246799218526,0.5253164556962026,0.516932658622032,2114.9823601053386,7929836.027823982,5057,199082.25860000015,20.841944995812412
