variant,horizon_bars,N,sign_acc,sign_bacc,precision_up,recall_up,MAE_ret,MSE_ret,trades,pnl_total,pnl_avg
raw,4,9735,0.5126861838726245,0.51268837717932,0.516248457424928,0.5123494590732802,304.50421322925223,211954.21958391537,4863,42179.14740000017,4.33228711996715
thetaBiquatTrue,4,9735,0.520698510529019,0.5207941105112351,0.5246560846560847,0.5060216370687896,923.5930888589324,1561803.3614104148,4725,15011.765000000212,1.5418821898110324
