pair,sign_acc,w_sign_acc,trades,pnl_total,pnl_avg
BNBUSDT,0.5126041773845046,0.4830316776981114,1300,-581.3601779999995,-0.4472001369230765
BTCUSDT,0.5240883410374936,0.4714067833079704,2494,-22532.616328000226,-9.034729882919097
ETHUSDT,0.5160760143810992,0.464542808147356,2662,-4461.739782000008,-1.6760855679939923
SOLUSDT,0.5027316771466859,0.4607744863438587,2762,-271.84126700000013,-0.0984218924692252
