variant,horizon_bars,bucket,edge_low,edge_high,count,sign_acc,mean_abs_move
raw,4,0,0.0,0.14000000000001478,978,0.5419222903885481,0.0725460122699377
raw,4,1,0.14000000000001478,0.28999999999999204,984,0.5294715447154471,0.21766260162601647
raw,4,2,0.28999999999999204,0.44999999999998863,989,0.5075834175935288,0.3693933265925173
raw,4,3,0.44999999999998863,0.6100000000000136,965,0.49637305699481865,0.533554404145078
raw,4,4,0.6100000000000136,0.7900000000000205,958,0.5208768267223383,0.7015657620041751
raw,4,5,0.7900000000000205,1.0200000000000102,988,0.5040485829959515,0.908795546558705
raw,4,6,1.0200000000000102,1.3000000000000114,963,0.509865005192108,1.1627414330218064
raw,4,7,1.3000000000000114,1.710000000000008,979,0.5148110316649642,1.4936567926455562
raw,4,8,1.710000000000008,2.3799999999999955,962,0.5135135135135135,2.0120270270270266
raw,4,9,2.3799999999999955,32.859999999999985,970,0.5010309278350515,3.622865979381443
thetaMixSVD,4,0,0.0,0.14000000000001478,978,0.5040899795501023,0.0725460122699377
thetaMixSVD,4,1,0.14000000000001478,0.28999999999999204,984,0.5254065040650406,0.21766260162601647
thetaMixSVD,4,2,0.28999999999999204,0.44999999999998863,989,0.48028311425682507,0.3693933265925173
thetaMixSVD,4,3,0.44999999999998863,0.6100000000000136,965,0.5129533678756477,0.533554404145078
thetaMixSVD,4,4,0.6100000000000136,0.7900000000000205,958,0.5313152400835073,0.7015657620041751
thetaMixSVD,4,5,0.7900000000000205,1.0200000000000102,988,0.5020242914979757,0.908795546558705
thetaMixSVD,4,6,1.0200000000000102,1.3000000000000114,963,0.5337487019730011,1.1627414330218064
thetaMixSVD,4,7,1.3000000000000114,1.710000000000008,979,0.508682328907048,1.4936567926455562
thetaMixSVD,4,8,1.710000000000008,2.3799999999999955,962,0.47713097713097713,2.0120270270270266
thetaMixSVD,4,9,2.3799999999999955,32.859999999999985,970,0.43402061855670104,3.622865979381443
