symbol,corr_base,corr_lag_h,ac_true_lag1,ac_true_lag_h,corr_shuffle_true,leak_flag,idx_ok,count,dense_symbol,dense_corr_base,dense_corr_lag_h,dense_ac_true_lag1,dense_ac_true_lag_h,dense_corr_shuffle_true,dense_leak_flag,dense_idx_ok,dense_count,delta_corr_dense
BTCUSDT,0.5532076010008842,-0.025118802872119175,0.7945237102380356,0.09444444403362735,0.034878491626092044,False,True,740,BTCUSDT,0.5966263719807704,-0.015771022684914163,0.7945237102380356,0.09444444403362735,-0.016718530142001024,False,True,740,0.04341877097988622
ETHUSDT,0.5306479160522105,0.01738386972194761,0.7694689027849999,0.07918288846943361,0.019705688235695032,False,True,740,ETHUSDT,0.5744771076616247,0.02802622187993881,0.7694689027849999,0.07918288846943361,0.013435926026621003,False,True,740,0.04382919160941423
BNBUSDT,0.4962194281803187,0.046172816514914124,0.7676005132745973,-0.008870302362732901,-0.03717596071408759,False,True,740,BNBUSDT,0.530616654610939,0.0398534888443225,0.7676005132745973,-0.008870302362732901,0.028101654085101183,False,True,740,0.034397226430620265
SOLUSDT,0.5702742121990755,0.0872214264859271,0.7751932062222048,0.12434628845359337,0.02648714606262622,False,True,740,SOLUSDT,0.6062246317058378,0.09575052277519615,0.7751932062222048,0.12434628845359337,-0.025441321216054545,False,True,740,0.035950419506762366
ADAUSDT,0.532556413998348,0.029236622741403824,0.790317402658382,0.05687591612175291,0.024618280490211294,False,True,740,ADAUSDT,0.5748621778617723,0.045086485339773205,0.790317402658382,0.05687591612175291,-0.006298833235385362,False,True,740,0.04230576386342433
XRPUSDT,0.5266971838175439,-0.018351092428006675,0.7937423145512386,0.07321675362161606,0.007300492141772963,False,True,740,XRPUSDT,0.5737451644591188,-0.008989884999424392,0.7937423145512386,0.07321675362161606,-0.0269453786337455,False,True,740,0.047047980641574894
