symbol,hit_rate_pred,hit_rate_hold,delta_hit,corr_pred_true,count
BTCUSDT,0.49864864864864866,0.4972972972972973,0.0013513513513513375,0.0020049941397447435,740
ETHUSDT,0.4554054054054054,0.47297297297297297,-0.017567567567567555,0.04775718482018231,740
BNBUSDT,0.47162162162162163,0.5162162162162162,-0.04459459459459453,0.03694010896117295,740
SOLUSDT,0.4851351351351351,0.4540540540540541,0.03108108108108104,0.05659314565973885,740
ADAUSDT,0.4797297297297297,0.4756756756756757,0.004054054054054013,0.037666868514096175,740
XRPUSDT,0.504054054054054,0.4810810810810811,0.022972972972972905,0.022294195220048586,740
