time,entry_idx,exit_idx,last_price,pred_price,signal,entry_price,exit_price,dir_score,pnl,equity
2025-09-17T00:00:00,255,259,116560.01000000007,112278.76292485162,SHORT,116560.01,116313.49,-0.037417772276276504,0.0011149620697526496,1.0011149620697526
2025-09-17T01:00:00,256,260,116662.25000000007,112333.75392541625,SHORT,116662.25,117108.3,-0.03780484168911475,-0.004823430458438809,0.9962861536693065
2025-09-17T02:00:00,257,261,116686.43000000002,112436.5719224786,SHORT,116686.43,117234.27,-0.03709728426438878,-0.005694976099620248,0.9906123278357772
2025-09-17T03:00:00,258,262,116372.03999999994,112540.94635431966,SHORT,116372.04,117162.48,-0.03347183008981563,-0.0077923532147412935,0.9828931266784038
2025-09-17T04:00:00,259,263,116313.48999999996,112646.05720496234,SHORT,116313.49,116860.0,-0.0320351765676292,-0.005698595150055206,0.9772920166736916
2025-09-17T05:00:00,260,264,117108.29999999993,112779.3630937605,SHORT,117108.3,116550.01,-0.03766201048865906,0.003767296596398446,0.9809737655617937
2025-09-17T06:00:00,261,265,117234.26999999997,112894.91087315715,SHORT,117234.27,116359.14,-0.037713075545788705,0.006464796769750045,0.987315561592607
2025-09-17T07:00:00,262,266,117162.48,112985.56078396594,SHORT,117162.48,116258.13,-0.0362980297280041,0.006718767987840402,0.9939491057817321
2025-09-17T08:00:00,263,267,116859.99999999994,113019.44358567642,SHORT,116860.0,116204.94,-0.033413424776856215,0.004605510867704926,0.9985267491903556
2025-09-17T09:00:00,264,268,116550.01000000002,112996.82473680146,SHORT,116550.01,116107.19,-0.03095763690590126,0.002799399073410568,1.0013220240468146
2025-09-17T10:00:00,265,269,116359.14000000004,112931.01132737927,SHORT,116359.14,115606.61,-0.029901339596809007,0.005467304588191343,1.006796556543143
2025-09-17T11:00:00,266,270,116258.12999999998,112864.58034095592,SHORT,116258.13,115875.32,-0.029621319414009962,0.002292758966620207,1.0091048983757196
2025-09-17T12:00:00,267,271,116204.93999999997,112816.45710649132,SHORT,116204.94,115640.77,-0.029590172678996187,0.003854957112838733,1.0129949544813135
2025-09-17T13:00:00,268,272,116107.19000000005,112804.14206784076,SHORT,116107.19,115504.48,-0.028857871549875985,0.004190979128855038,1.01724039519318
2025-09-17T14:00:00,269,273,115606.61000000003,112802.42754991206,SHORT,115606.61,115226.93,-0.024552819612012257,0.0022842412730553,1.0195640176884995
2025-09-17T15:00:00,270,274,115875.31999999993,112828.82056544018,SHORT,115875.32,115652.02,-0.026640313578349874,0.0009270712693609207,1.0205092261965727
2025-09-17T16:00:00,271,275,115640.76999999997,112818.67281305748,SHORT,115640.77,115621.47,-0.02470424083551909,-0.0008331038439124635,1.0196590360374802
2025-09-17T17:00:00,272,276,115504.47999999994,112767.68224105884,SHORT,115504.48,116038.39,-0.023977126341327242,-0.005622418108804122,1.0139260866084574
2025-09-17T18:00:00,273,277,115226.92999999995,112676.52545672565,SHORT,115226.93,116559.69,-0.02238014327119154,-0.012566393376964996,1.001184692548969
2025-09-17T19:00:00,274,278,115652.01999999996,112599.71003191237,SHORT,115652.02,116447.59,-0.02674404014413778,-0.007878997876561017,0.9932963604823302
2025-09-17T20:00:00,275,279,115621.47,112514.22835521172,SHORT,115621.47,116350.65,-0.02723925382284716,-0.007306614160847402,0.9860387272289117
2025-09-17T21:00:00,276,280,116038.39000000006,112444.64781151952,SHORT,116038.39,116634.84,-0.031456857866569946,-0.0061401092345386475,0.9799843417342408
2025-09-17T22:00:00,277,281,116559.68999999992,112414.12332830817,SHORT,116559.69,116950.47,-0.03621029936214351,-0.004352617015367825,0.9757188452136143
2025-09-17T23:00:00,278,282,116447.58999999998,112389.26422873735,SHORT,116447.59,117581.66,-0.03546933472205412,-0.010738887683291745,0.9652407101243942
2025-09-18T00:00:00,279,283,116350.64999999998,112390.05805381805,SHORT,116350.65,117605.16,-0.03462953133732889,-0.011782148617132861,0.9538681006264017
2025-09-18T01:00:00,280,284,116634.83999999998,112448.87699394573,SHORT,116634.84,117273.36,-0.03654568242608433,-0.0064745220210359455,0.9476922606037324
2025-09-18T02:00:00,281,285,116950.46999999996,112538.71933259552,SHORT,116950.47,117102.43,-0.038449332662528035,-0.0022993534784425565,0.94551318110782
2025-09-18T03:00:00,282,286,117581.65999999997,112643.99427723,SHORT,117581.66,117086.01,-0.042896428982918365,0.00321536828107384,0.9485533541996913
2025-09-18T04:00:00,283,287,117605.15999999999,112717.2085216339,SHORT,117605.16,117229.59,-0.042446564867401816,0.002193482326795924,0.9506339892181513
2025-09-18T05:00:00,284,288,117273.35999999997,112731.51976941824,SHORT,117273.36,117298.81,-0.03949461000523865,-0.0012170143330079148,0.9494770540278283
2025-09-18T06:00:00,285,289,117102.43000000008,112720.29234116896,SHORT,117102.43,117190.47,-0.03813574724275864,-0.001751820436177184,0.9478137407209011
2025-09-18T07:00:00,286,290,117086.01000000005,112694.86510796989,SHORT,117086.01,117063.4,-0.0382211133323948,-0.000806894094349952,0.9470489554109697
2025-09-18T08:00:00,287,291,117229.59000000004,112680.03128637612,SHORT,117229.59,117124.69,-0.03957814123979472,-0.00010517472593741747,0.946949349796635
2025-09-18T09:00:00,288,292,117298.80999999998,112674.27224640081,SHORT,117298.81,117432.04,-0.04021947909063474,-0.0021358171493811055,0.944926839135744
2025-09-18T10:00:00,289,293,117190.46999999991,112658.5010356949,SHORT,117190.47,117640.54,-0.03943548816034103,-0.0048404999997012765,0.9403529207711898
2025-09-18T11:00:00,290,294,117063.39999999998,112639.17365280254,SHORT,117063.4,117583.56,-0.03852225998415639,-0.0054434041724399215,0.9352341997586978
2025-09-18T12:00:00,291,295,117124.68999999997,112641.44294612294,SHORT,117124.69,117565.6,-0.03902548872650352,-0.004764449664712056,0.9307783234892303
2025-09-18T13:00:00,292,296,117432.03999999998,112688.24220510726,SHORT,117432.04,117579.93,-0.041230572918229194,-0.0022593666941321928,0.9286753539455185
2025-09-18T14:00:00,293,297,117640.53999999998,112740.60129913865,SHORT,117640.54,117822.97,-0.04253983386752958,-0.002550740926554805,0.9263065437127268
2025-09-18T15:00:00,294,298,117583.56000000007,112788.67536956073,SHORT,117583.56,117450.21,-0.04162912853852011,0.0001340871121778527,0.9264307494821646
2025-09-18T16:00:00,295,299,117565.5999999999,112845.67834239377,SHORT,117565.6,117521.14,-0.04097117165226855,-0.0006218281538136461,0.925854668759578
