symbol,corr_base,corr_lag_h,ac_true_lag1,ac_true_lag_h,corr_shuffle_true,leak_flag,idx_ok,count
BTCUSDT,0.5962601496163626,-0.015723884969361144,0.7943605197054883,0.09412489426297493,0.02308205335719769,False,True,740
ETHUSDT,0.5742572667832458,0.028123719219318954,0.7693644407860064,0.07897319581324562,0.0045443021615791685,False,True,740
BNBUSDT,0.5304644536908657,0.03986065711872939,0.767592350288327,-0.009049911708972104,-0.04041919099147342,False,True,740
SOLUSDT,0.6060190847503647,0.09567564243295723,0.7750851600847547,0.12414671431824167,0.012295811843195129,False,True,740
ADAUSDT,0.5747616583373859,0.04509797475362898,0.7902592285542822,0.05678959202391869,0.006378732610315496,False,True,740
XRPUSDT,0.5736826942641258,-0.008950673461793747,0.7937194527507979,0.07314305829758874,-0.011253559081457814,False,True,740
