symbol,phase,hit_rate_pred,hit_rate_hold,delta_hit,corr_pred_true,mae_price,mae_return,count
BTCUSDT,biquat,0.4851351351351351,0.5148648648648648,-0.029729729729729704,0.17754276158079352,92421.27603914432,0.8045054157479651,740
ETHUSDT,biquat,0.5081081081081081,0.4918918918918919,0.016216216216216217,0.22566081111832922,3401.9281429348553,0.8086316950303202,740
BNBUSDT,biquat,0.46621621621621623,0.5337837837837838,-0.06756756756756754,0.16595611877225414,878.7997982865797,0.79613797568826,740
SOLUSDT,biquat,0.55,0.4486486486486487,0.10135135135135137,0.21913215059820576,172.28020133277818,0.8135058905156058,740
ADAUSDT,biquat,0.5297297297297298,0.4689189189189189,0.060810810810810856,0.1319295754909408,0.638388145039989,0.8169069335186497,740
XRPUSDT,biquat,0.5202702702702703,0.4783783783783784,0.04189189189189191,0.09578020590880125,2.246080969394221,0.8128749060769623,740
