symbol,idx_ok,n_total,n_test,split_at,corr_oos,hit_rate_oos,corr_lag_h,corr_shuffle_true
BTCUSDT,True,740,222,518,0.5755634088968997,0.6261261261261262,-0.21967414868417412,-0.06293418279374029
ETHUSDT,True,740,222,518,0.5271855431096709,0.6396396396396397,-0.22704207646826302,-0.03813751997802808
BNBUSDT,True,740,222,518,0.4916569321177586,0.6306306306306306,-0.15880971504896993,0.0363137330819644
SOLUSDT,True,740,222,518,0.526390098651516,0.6576576576576577,-0.16387833552570932,-0.019303813189693098
ADAUSDT,True,740,222,518,0.546238569412727,0.6261261261261262,-0.21972642860438413,-0.021810770093070725
XRPUSDT,True,740,222,518,0.4994836896522109,0.6171171171171171,-0.25706442748989644,0.01337151078482769
