symbol,interval,window,horizon,sigma,q,lam,fee_bps,last_price,pred_price,delta,dir_score,signal,t_observed
BTCUSDT,1h,256,1,0.8,0.001806169785146415,0.001,5.0,106809.76000000005,112443.441417799,5633.681417798944,0.05139590461643992,LONG,2025-10-18T00:00:00
BTCUSDT,1h,256,4,0.8,0.001806169785146415,0.001,5.0,106809.76000000005,114272.78363939984,7463.023639399791,0.06753236776848758,LONG,2025-10-18T00:00:00
BTCUSDT,1h,256,24,0.8,0.001806169785146415,0.001,5.0,106809.76000000005,115917.95956450187,9108.199564501818,0.08182520519978177,LONG,2025-10-18T00:00:00
